,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E06000018,00FY,Nottingham,EM,0.33,7,36,0,0,4,39,0,29,13,1,0
,E07000219,44UC,Nuneaton and Bedworth,WM,0.09,1,4,0,0,0,0,5,0,0,0,5
,E07000135,31UJ,Oadby and Wigston,EM,0.14,0,0,3,0,0,0,3,0,0,0,3
,E08000004,00BP,Oldham,NW,0.02,0,2,0,0,0,2,0,2,0,0,0
,E07000178,38UC,Oxford,SE,1.11,10,51,0,0,3,53,5,46,11,2,2
,E07000122,30UJ,Pendle,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E06000031,00JA,Peterborough,EE,0.40,4,25,2,0,0,27,4,23,6,0,2
,E06000026,00HG,Plymouth,SW,0.23,1,25,0,0,1,25,0,20,6,0,0
,E06000029,00HP,Poole,SW,0.20,1,12,0,0,0,12,1,12,0,0,1
,E06000044,00MR,Portsmouth,SE,0.47,6,33,3,0,2,27,13,32,2,1,7
,E07000123,30UK,Preston,NW,0.33,4,15,0,0,2,17,0,14,5,0,0
,E07000051,19UG,Purbeck,SW,0.05,0,1,0,0,0,1,0,1,0,0,0
,E06000038,00MC,Reading,SE,0.47,5,26,0,0,1,30,0,26,3,1,1
,E09000026,00BC,Redbridge,L,0.61,5,60,0,0,0,50,15,16,20,29,0
,E06000003,00EE,Redcar and Cleveland,NE,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000236,47UD,Redditch,WM,0.11,1,3,0,0,1,2,1,3,0,0,1
,E07000211,43UF,Reigate and Banstead,SE,0.05,1,2,0,0,0,3,0,3,0,0,0
,E07000124,30UL,Ribble Valley,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000027,00BD,Richmond upon Thames,L,0.23,4,14,1,0,1,10,8,13,3,0,3
,E07000166,36UE,Richmondshire,YH,0.00,0,0,0,0,0,0,0,0,0,0,0
,E08000005,00BQ,Rochdale,NW,0.09,1,7,0,0,1,7,0,8,0,0,0
,E07000075,22UL,Rochford,EE,0.32,0,3,8,0,0,0,11,0,0,0,11
,E07000125,30UM,Rossendale,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000064,21UG,Rother,SE,0.09,1,3,0,0,1,3,0,4,0,0,0
,E08000018,00CF,Rotherham,YH,0.02,0,2,0,0,0,2,0,2,0,0,0
,E07000220,44UD,Rugby,WM,0.14,0,3,3,0,0,3,3,2,1,0,3
,E07000212,43UG,Runnymede,SE,0.12,1,3,0,0,0,4,0,4,0,0,0
,E07000176,37UJ,Rushcliffe,EM,0.19,0,9,0,0,0,9,0,4,5,0,0
,E07000092,24UL,Rushmoor,SE,0.13,0,5,0,0,0,5,0,5,0,0,0
,E06000017,00FP,Rutland,EM,0.18,0,3,0,0,0,3,0,3,0,0,0
,E07000167,36UF,Ryedale,YH,0.08,0,2,0,0,0,2,0,2,0,0,0
,E08000006,00BR,Salford,NW,0.44,3,46,0,0,1,41,7,38,7,2,2
,E08000028,00CS,Sandwell,WM,0.08,2,8,0,0,0,10,0,8,0,0,2
,E07000168,36UG,Scarborough,YH,0.02,0,1,0,0,0,1,0,1,0,0,0
,E07000188,40UC,Sedgemoor,SW,0.13,0,5,2,0,0,5,2,5,0,0,2
,E08000014,00CA,Sefton,NW,0.08,1,8,0,0,0,9,0,8,1,0,0
,E07000169,36UH,Selby,YH,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000111,29UK,Sevenoaks,SE,0.08,0,4,0,0,0,4,0,4,0,0,0
,E08000019,00CG,Sheffield,YH,0.08,1,19,0,0,0,20,0,18,0,2,0
,E07000112,29UL,Shepway,SE,0.32,2,14,0,1,1,14,0,13,3,0,0
,E06000051,00GG,Shropshire,WM,0.10,1,12,0,0,1,12,0,13,0,0,0
,E06000039,00MD,Slough,SE,0.50,7,20,0,0,2,25,0,12,15,0,0
,E08000029,00CT,Solihull,WM,0.02,0,2,0,0,0,2,0,2,0,0,0
,E07000006,11UE,South Bucks,SE,0.04,0,1,0,0,0,1,0,1,0,0,0
,E07000012,12UG,South Cambridgeshire,EE,0.06,0,4,0,0,0,4,0,4,0,0,0
,E07000039,17UK,South Derbyshire,EM,0.05,0,2,0,0,0,2,0,2,0,0,0
,E06000025,00HD,South Gloucestershire,SW,0.03,1,2,0,0,0,2,1,3,0,0,0
,E07000044,18UG,South Hams,SW,0.18,1,6,0,0,1,6,0,7,0,0,0
,E07000140,32UF,South Holland,EM,0.13,1,4,0,0,0,5,0,2,3,0,0
,E07000141,32UG,South Kesteven,EM,0.07,2,2,0,0,0,4,0,4,0,0,0
,E07000031,16UG,South Lakeland,NW,0.06,0,3,0,0,2,1,0,3,0,0,0
,E07000149,33UH,South Norfolk,EE,0.02,0,1,0,0,1,0,0,1,0,0,0
,E07000155,34UG,South Northamptonshire,EM,0.05,0,2,0,0,0,2,0,1,1,0,0
,E07000179,38UD,South Oxfordshire,SE,0.04,2,0,0,0,1,1,0,2,0,0,0
,E07000126,30UN,South Ribble,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000189,40UD,South Somerset,SW,0.05,1,3,0,0,0,4,0,4,0,0,0
,E07000196,41UF,South Staffordshire,WM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E08000023,00CL,South Tyneside,NE,0.01,0,1,0,0,0,1,0,1,0,0,0
,E06000045,00MS,Southampton,SE,0.29,6,23,0,0,7,21,1,18,9,1,1
,E06000033,00KF,Southend-on-Sea,EE,0.94,12,60,0,0,9,63,0,64,5,3,0
,E09000028,00BE,Southwark,L,0.34,3,39,2,0,1,40,3,21,16,5,2
,E07000213,43UH,Spelthorne,SE,0.10,1,3,0,0,2,2,0,3,1,0,0
,E07000240,26UG,St Albans,EE,0.09,0,5,0,0,0,4,1,2,2,0,1
,E07000204,42UF,St Edmundsbury,EE,0.46,7,15,0,0,2,20,0,16,5,1,0
,E08000013,00BZ,St. Helens,NW,0.11,1,8,0,0,0,9,0,9,0,0,0
,E07000197,41UG,Stafford,WM,0.12,3,4,0,0,0,7,0,7,0,0,0
,E07000198,41UH,Staffordshire Moorlands,WM,0.02,0,1,0,0,0,1,0,1,0,0,0
,E07000243,26UH,Stevenage,EE,0.16,0,6,0,0,0,6,0,6,0,0,0
