Exec,Control, Con   ,Labour ,LibDem ,UKIP ,Green ,Others ,ONS code,Region,Unnamed: 3,"Number of households (2014-based household interim projections for 2017)1
(000s) ",White,Black or Black British,Asian or Asian British,Mixed,Other ethnic origin,Ethnic Group not Stated,Total_x,"Number per 1,000 households","Eligible, homeless and in priority need, but intentionally","Eligible, homeless but not in priority need","Eligible, but not homeless",Total decisions,Bed and breakfast (including shared annexe),Hostels,LA/HA stock,Private sector leased (by LA or HA),Other types (including private landlord),Total in temporary accommodation,"Number per 1,000 households.1",Duty owed but no accommodation has been secured at end of March 2018,Unemployment,Unemployment rate (%),Area Code,Total_y,Attendance Allowance,Bereavement Benefit/Widow's Benefit,Carer's Allowance,Unnamed: 6,Unnamed: 7,Disability Living Allowance,of which children,of which working age,of which pensioners,Discretionary Housing Payments,Employment And Support Allowance,Housing Benefit,Incapacity Benefit,Income Support,Unnamed: 17,of which incapacity benefits,of which Lone Parent,of which Carer,of which Others,Unnamed: 22,Jobseeker's Allowance,Unnamed: 24,Unnamed: 25,Pension Credit,Personal Independence Payment,Unnamed: 28,Unnamed: 29,Severe Disablement Allowance,of which working age.1,of which pensioners.1,State Pension,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Winter Fuel Payments
LC,Lab,29,80,10,,,1,E08000025,WM,,435.679,1082,760,796,193,260,293,3386.0,7.77,263,395,1104,5148,574,143,673,660,8,2058,4.72,3026,40300.0,7.78045923,E08000025,2834.4123373979505,90.16087696890716,8.61183330223679,75.41398868678205,,,159.54959851363793,50.500672149389025,48.60111837583613,60.42445186842012,5.283667,337.15217531064025,554.730755,0.1425989443917852,66.181865824064,,0.42659887857494627,43.00708278142966,19.302165374570613,3.585506033932813,,82.54168168063234,,,132.85858676632634,195.62796073905284,,,2.0483527376887896,0.4292118770095656,1.619140860679224,1096.9129816861434,,,,,,,27.195414237446403
LC,Con,29,6,4,,,,E07000129,EM,,40.388,30,--,--,--,--,--,32.0,0.79,--,--,13,49,--,--,--,--,--,--,--,6,1500.0,2.9494954300000003,E07000129,234.8344440084907,8.938228661542109,0.8694859566679203,2.8708449074072875,,,11.424225855090397,2.5186479665156347,4.459077859688237,4.4534124802931405,0.081447,13.328305932831212,14.436199,0.0,1.6777479350166586,,0.01784736866423962,1.1518058142202692,0.43329095844284937,0.08589301060693423,,0.9992446931516439,,,5.1735883532907945,7.675659109607087,,,0.09362669650272923,0.0,0.09362669650272923,163.88146199227506,,,,,,,3.3843779151077804
LC,Lab,16,44,3,,,1,E06000008,NW,,57.665,33,6,7,--,6,--,52.0,0.9,--,--,85,141,--,--,--,--,--,5,0.09,9,3800.0,5.78813745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E06000008,389.38735600938367,12.162556917478511,1.4569269498450685,10.53567328206365,,,29.048954963209372,5.282727763638496,11.215866259408685,12.5513204555921,0.33817,55.51411349599902,51.360572,0.0708178185768944,6.5490550625527435,,0.04413782992641602,3.6255586778943387,2.4957388043510393,0.38455151685213196,,5.3972558158171,,,17.43985985656689,30.365135858775794,,,0.23618101935658312,0.0,0.23618101935658312,165.08893484083433,,,,,,,3.823148128307716
LC,Lab,13,29,,,,,E06000009,NW,,63.954,61,--,--,--,--,6,68.0,1.06,26,520,178,792,6,30,--,--,--,36,0.56,7,3700.0,5.543830310000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E06000009,508.66003918534557,17.36049348630149,1.4009597585259923,11.038740779957735,,,34.25936765817143,5.011864628808981,13.08391672932804,16.159626965914747,0.394948,70.04416103417712,76.755819,0.018006554619424575,8.477390318301987,,0.09279295491129767,4.65171777169421,3.324555054985773,0.4045251685146855,,6.583794756316819,,,19.847042190057774,37.61869261866464,,,0.36367556343444746,0.03388751527838874,0.3297880481560587,219.2628637354388,,,,,,,5.234083731377864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,5.99045613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W06000019,236.50935915845633,8.229431369735133,0.49941719206700674,5.13962687315487,,,18.820110028833074,2.233796682202988,4.496263648326184,12.05275904626001,0.300717,33.10956626380696,25.973705,0.05307497125289557,4.124775125568668,,0.09657355049956984,2.3783717876412367,1.4801903280664923,0.16201193806040334,,3.1135868407783223,,,8.195235277917474,21.676464086369847,,,0.2687742958793832,0.07907086898290708,0.18970342689647607,104.62397093692948,,,,,,,2.3809038961632125
LC,Lab,,32,,,,5,E07000033,EM,,34.164,--,--,--,--,--,--,29.0,0.85,9,--,--,38,--,--,--,--,--,--,--,--,1500.0,3.9680511600000004,E07000033,229.78038951106487,7.834927128295832,0.6177458119601255,5.448058461722656,,,20.100978731051775,2.7402171306117316,6.813800697810927,10.532026985018453,0.13865,25.620879235161933,20.541006,0.0,3.3003879173908124,,0.026128333930162836,1.7524598736276962,1.409934386270659,0.11098053988754632,,1.7376936939569725,,,6.253795653587201,16.418801590811956,,,0.19866915248068334,0.03388751527838874,0.1647816372022946,118.91070850643746,,,,,,,2.658087628207465
LC,Lab,16,35,3,5,,1,E08000001,NW,,120.336,145,13,32,--,--,--,193.0,1.6,99,67,161,520,--,13,48,--,--,62,0.52,39,7700.0,5.744231989999999,E08000001,771.1172489562814,23.969172300991275,2.4505146598872254,16.739932878547013,,,50.52731472443047,9.920964322830999,17.974148775430617,22.606360692119306,0.923245,89.64330929947064,93.426869,0.10711014730501786,11.488085308801123,,0.09661007368974873,6.6573317846029685,4.090445985437819,0.6376522188684208,,11.328069294858585,,,29.071352569363174,49.359287284315705,,,0.4573191179685369,0.03388751527838874,0.4234316026901482,383.09359157441304,,,,,,,8.53207579592961
